Date,Open,High,Low,Close,Adj Close,Volume
27-04-18,123,123.080002,121.82,121.989998,118.67173,265200
30-04-18,121.800003,123.370003,121.599998,122.68,119.342964,306500
01-05-18,122.660004,122.754997,121.18,122.480003,119.148407,224500
02-05-18,126.410004,127.169998,125.620003,125.809998,122.387817,772400
03-05-18,124.18,133.449997,123.710999,130.990005,127.426918,1414600
04-05-18,134.919998,137.449997,134.279999,137.330002,133.594467,1201600
07-05-18,139.360001,141.559998,139.169998,140.389999,136.571228,773500
08-05-18,136.800003,138,135.220001,136.770004,133.049713,586600
09-05-18,136.539993,136.770004,134.979996,135.639999,131.950424,341800
10-05-18,135.039993,135.875,134.869995,135.570007,131.882339,318000
11-05-18,135.610001,136.289993,135.119995,136.050003,132.349289,211800
14-05-18,135.350006,136.240005,135.039993,135.199997,131.5224,179400
15-05-18,134.020004,134.550003,133.270004,133.889999,130.248047,191100
16-05-18,133.460007,134.225006,132.350006,133.839996,130.199402,258500
17-05-18,133.550003,134.360001,133.360001,133.729996,130.092392,176400
18-05-18,133.160004,133.389999,132.309998,132.529999,128.925034,211100
21-05-18,134.5,135,133.470001,134.070007,130.423141,250200
22-05-18,133.910004,134.240005,132.360001,132.460007,128.856949,179600
23-05-18,130.679993,131.429993,130.110001,131.309998,127.73822,229000
24-05-18,130.539993,131.770004,130.339996,131.440002,127.86467,181200
25-05-18,131.130005,131.960007,129.889999,131.190002,127.621483,212700
29-05-18,127.809998,129.110001,125.949997,127.019997,123.564903,836300
30-05-18,129.619995,130.990005,128.809998,130.25,126.707062,407100
31-05-18,130.380005,131.979996,129.565002,131.350006,127.777122,266500
01-06-18,133.660004,133.809998,131.440002,132.899994,129.284958,287000
04-06-18,132.610001,132.869995,131.914993,132.25,128.652649,267800
05-06-18,135.839996,137.464996,135.389999,136.490005,132.777328,434600
06-06-18,136.970001,139.539993,136.921997,139.460007,135.666534,306500
07-06-18,138.240005,138.899994,136.100006,136.449997,132.738403,285900
08-06-18,136.220001,136.570007,135.229996,136.369995,132.660568,175500
11-06-18,138.740005,139.690002,138.559998,139.080002,135.29686,431300
12-06-18,140.580002,140.899994,139.445007,140.639999,136.814423,516900
13-06-18,142.589996,145.070007,142.380005,143.960007,140.044128,702700
14-06-18,148.080002,149.580002,147.270004,149.330002,145.268051,791900
15-06-18,149.850006,149.850006,148.25,148.899994,144.849731,368200
18-06-18,146.449997,148.320007,146.289993,147.809998,143.789383,306500
19-06-18,145.350006,146.279999,144.755005,145.449997,141.493576,424500
20-06-18,144.479996,145.100006,143.009995,143.210007,139.314545,325800
21-06-18,141.550003,141.690002,140,140.899994,137.067352,368200
22-06-18,141.610001,141.770004,138.339996,139.479996,135.685989,729500
25-06-18,137.979996,138,135.5,136.899994,133.176163,393000
26-06-18,136.869995,137.399994,136.220001,137.130005,133.399933,421000
27-06-18,137.800003,138.899994,135.179993,135.179993,131.502945,356700
28-06-18,131.869995,135.259995,131.669998,135.050003,131.37648,551700
29-06-18,135.610001,136.809998,134.720001,135.009995,131.33757,398200
02-07-18,132.779999,135.169998,132.660004,135.149994,131.473755,326900
03-07-18,134.570007,134.929993,133.869995,133.940002,130.296677,219000
05-07-18,135.919998,136.160004,134.580002,135.940002,132.242279,284900
06-07-18,135.160004,135.529999,134.289993,135.360001,131.67804,239500
09-07-18,136.029999,136.419998,134.839996,136.380005,132.670303,229700
10-07-18,138.369995,138.389999,137.169998,137.699997,133.954407,284500
11-07-18,136.080002,137.039993,135.779999,136.210007,132.504929,236900
12-07-18,137.360001,139.770004,137.130005,139.660004,135.861084,334200
13-07-18,143.25,143.699997,141.889999,142.509995,138.633545,434000
16-07-18,142,142.070007,140.940002,142,138.137436,315100
17-07-18,141.580002,144.830002,141.089996,143.679993,139.771729,270900
18-07-18,142.720001,143.220001,142.410004,143.029999,139.13942,152000
19-07-18,142.210007,143.089996,140.914993,142.520004,138.643295,332300
20-07-18,140.020004,140.699997,139.860001,140,136.191833,499800
23-07-18,132.5,137,132.449997,136.490005,132.777328,2595200
24-07-18,134.460007,135.029999,133.029999,133.25,129.625458,1279900
25-07-18,132.089996,136.300003,130.119995,134.520004,130.860901,2319700
26-07-18,132.509995,133.960007,131.369995,131.630005,128.049515,926000
27-07-18,131.179993,131.990005,130.440002,131.600006,128.020325,546000
30-07-18,131.539993,131.559998,129.899994,130.5,126.950249,866100
31-07-18,132.559998,133.860001,132.389999,132.619995,129.012573,1016100
01-08-18,134.770004,135.399994,116.540001,118,114.79026,6443500
02-08-18,122.489998,128.25,121.644997,126.18,122.747765,3651300
03-08-18,130.850006,131.054993,123.5,124.839996,121.444199,2837500
06-08-18,123.650002,124.300003,122.760002,123.989998,120.617325,797000
07-08-18,125.839996,125.839996,123.949997,125.129997,121.726318,732600
08-08-18,126.010002,126.639999,125.555,125.839996,122.417,573000
09-08-18,125.949997,126.07,123.629997,123.830002,120.461678,642000
10-08-18,120.18,121.099998,119.654999,120.629997,117.348724,931900
13-08-18,121.330002,122.230003,120.779999,122,118.681458,485900
14-08-18,121.75,121.75,120.629997,121,117.708656,773300
15-08-18,120.57,120.57,118.919998,119.230003,115.986809,1148200
16-08-18,120.269997,120.910004,119.730003,120.5,117.22226,787200
17-08-18,119.510002,120.904999,119.239998,120.800003,117.514107,394100
20-08-18,121.529999,123.379997,121.529999,123.349998,119.994736,684100
21-08-18,124.870003,126.57,124.5,126.330002,122.893684,889400
22-08-18,126.959999,127.230003,124.739998,125.089996,121.687408,692000
23-08-18,124.629997,126.18,124.269997,124.790001,121.395561,554800
24-08-18,126.260002,128.130005,126.260002,127.519997,124.0513,486500
27-08-18,127.260002,128.649994,127.220001,128.199997,124.712799,362400
28-08-18,129.550003,130.429993,128.764999,130.039993,126.502769,771600
29-08-18,132.660004,134.660004,132.095001,134.199997,130.549591,952900
30-08-18,134.539993,134.610001,131.815002,132.929993,129.314133,876400
31-08-18,132.889999,132.889999,129.919998,131.089996,127.5242,526900
04-09-18,130.059998,130.059998,127.849998,128.580002,125.082474,1121700
05-09-18,127.629997,127.860001,125.910004,127.110001,123.652458,768000
06-09-18,126.050003,127.290001,126.050003,126.43,122.990959,439600
07-09-18,126.199997,128,125.959999,126.860001,123.409264,294300
10-09-18,127.410004,127.669998,126.080002,126.739998,123.292526,401100
11-09-18,125.699997,130.360001,125.25,129.539993,126.016357,706800
12-09-18,131.240005,133.229996,130.539993,132.789993,129.177948,711600
13-09-18,133.729996,134.75,133.029999,133.449997,129.819992,592000
14-09-18,133.100006,134.300003,131.470001,132.139999,128.545639,672600
17-09-18,133.279999,133.779999,131.770004,132.800003,129.187683,740000
18-09-18,133.110001,138.589996,132.800003,138.320007,134.557526,1931700
19-09-18,136.899994,137.410004,134.710007,135.809998,132.115814,975500
